"host","idp","returnee","district","name"
0,19,0,"duhok","Baroshke"
0,7,0,"duhok","Diyari"
1,28,0,"koysinjaq","Azady"
0,8,0,"koysinjaq","Bayizagha"
0,16,0,"koysinjaq","Bazar koya(Bafri qndeel)"
0,10,0,"al.sulaymaniyah","Ashty 106 & 104"
0,5,2,"al.sulaymaniyah","Chwar Bakh 401"
0,2,0,"al.sulaymaniyah","Gulli Shar"
0,2,0,"al.sulaymaniyah","Kostay Cham"
0,4,3,"al.sulaymaniyah","Rizgare 408"
1,0,6,"al.kaim","Al-Amen"
1,0,4,"al.kaim","Hay Al Rashid"
1,0,3,"al.kaim","Hay Al-Yarmook"
1,0,6,"al.kaim","Wazeeriya"
0,0,7,"al.rutba","Al Askaree"
0,0,1,"ana","Al bor (Shishan)"
0,0,2,"ana","Hay Al ZeraI"
0,2,5,"ana","Hay Al Qadissiyah"
0,0,9,"ana","Hay Al Salam"
0,0,7,"ana","Hay Al Shuhadaa"
0,0,1,"al.falluja","Al-Amirya-Albu Mrir"
2,0,2,"haditha","Al-Mutanabi"
1,0,0,"haditha","Bani Dahir"
1,4,2,"haditha","Hay Al Haqlaniyah Qadim"
0,3,4,"haditha","Hay Al Rifay"
0,7,0,"haditha","Hay Al Saray"
0,49,1,"haditha","Hay Al Yarmuk"
0,4,8,"haditha","Hay Al-Subhani"
0,7,0,"al.adhamiya","Adhamia-308"
0,14,0,"al.adhamiya","Adhamia-312"
0,13,0,"al.adhamiya","Adhamia-314"
69,0,0,"al.adhamiya","Adhamiya-310"
0,7,0,"al.adhamiya","Al Qahira-307"
0,12,0,"al.adhamiya","Hay Al Rabee-332"
0,11,0,"al.adhamiya","Al Shamasiyah-320"
1,14,0,"al.adhamiya","Al Shamasiyah-316"
0,7,0,"al.adhamiya","Bob Al Sham-388"
0,8,0,"al.adhamiya","Hay Al Rabee-340"
0,7,0,"al.adhamiya","Hay Al Rabee-342"
2,7,0,"al.adhamiya","Hay Ur-325"
0,11,0,"al.risafa","Baghdad Al Jadidia-723"
0,8,0,"al.risafa","Baghdad Al Jadidia-725"
0,7,0,"al.risafa","Al Karada-905"
0,7,0,"al.risafa","Al Mashtal-731"
0,7,0,"al.risafa","Al Mashtal-735"
0,7,0,"al.risafa","Al Mashtal-751"
0,7,0,"al.risafa","Al Nidhal-103"
0,6,0,"al.risafa","Al Rasheed-112"
0,7,0,"al.risafa","Al Riyadh-910"
0,7,0,"al.risafa","Al Zaafaranyah-965"
0,7,0,"al.risafa","Al Maamil-781"
0,19,0,"al.risafa","Al Karkh-212"
0,13,0,"al.mahmoudiya","14 Tamooz"
0,22,0,"al.mahmoudiya","Al Latefia-Al Qadessia"
0,7,0,"al.mahmoudiya","Hay Al-Askary"
0,7,0,"al.mahmoudiya","Kilo 18"
0,7,0,"al.mahmoudiya","Dereia w Um Mahar"
0,5,0,"al.mahmoudiya","Hay Al Zuhoor"
0,0,5,"al.mahmoudiya","Hay Al Dobat(Al kragolyia)"
0,0,5,"al.mahmoudiya","Hay Al Shuhada(Al kragolyia)"
0,0,8,"al.mahmoudiya","Al Motokal village-(Al Jomblatiya Northern)"
0,0,8,"al.mahmoudiya","Al Abraar village-(Al Jomblatiya Northern)"
0,0,13,"al.mahmoudiya","Albu Moufarrej Village"
0,0,21,"al.hawiga","Al-zab"
0,0,15,"al.hawiga","Helwa Olia"
0,0,9,"al.hawiga","Hilwa middle"
0,3,9,"al.hawiga","Qadissiya-101"
0,0,15,"al.hawiga","Shamitt Village"
0,0,9,"al.hawiga","Al-Abassy center"
0,0,7,"al.hawiga","Al-Khatoonia"
0,0,9,"al.hawiga","Hawd Sittah village"
0,1,6,"al.hawiga","Namisa Village"
0,0,7,"al.hawiga","Shamllan village"
0,0,9,"al.hawiga","Hay Al-Nasir ( Hawija )"
0,0,7,"al.hawiga","Al Manzala Village"
16,1,2,"kirkuk","Al Faylaq-Mahala 5"
24,0,0,"kirkuk","Darwaza"
1,0,0,"kirkuk","Hay 1 Athar"
0,3,0,"kirkuk","Panja Ali"
1,1,0,"kirkuk","Rahim Awa"
2,1,0,"kirkuk","Hay Al-Askary 2"
0,3,0,"tilkaef","Al rasheediya"
1,6,0,"tilkaef","Bysan"
1,35,13,"sinjar","Sinuni center"
0,0,13,"sinjar","Dokri"
0,0,7,"sinjar","Dohola "
0,7,17,"sinjar","Borek"
0,0,7,"sinjar","Balif"
0,13,0,"sinjar","Ashti & Heriko"
0,0,7,"sinjar","Bir Adam"
0,0,19,"sinjar","Zorava and zirwa"
0,0,3,"tilkaef","Al Quba"
0,6,0,"al.suwaira","Hay Al-Jihad"
0,7,0,"al.kut","Al Hasan Al Askari"
0,6,0,"al.kut","Hay Al-Hawaraa 3"
0,2,0,"al.kut","Um Hulail Village"
0,3,0,"al.kut","Al-Umarat-Al-Mutamaizeen"
