district,popgroup,population
Al-Adhamiya,out_of_camp,911
Al-Amadiya,out_of_camp,514
Al-Baaj,out_of_camp,226
Al-Basrah,out_of_camp,370
Al-Diwaniya,out_of_camp,828
Al-Falluja,out_of_camp,1759
Al-Hamdaniya,out_of_camp,4461
Al-Hindiya,out_of_camp,853
Al-Kadhmiyah,out_of_camp,2657
Al-Kahla,out_of_camp,206
Al-Kaim,out_of_camp,219
Al-Karkh,out_of_camp,3671
Al-Khalis,out_of_camp,767
Al-Kufa,out_of_camp,580
Al-Kut,out_of_camp,870
Al-Mahmoudiya,out_of_camp,1083
Al-Mosul,out_of_camp,17462
Al-Mussyab,out_of_camp,2387
Al-Najaf,out_of_camp,1198
Al-Nasiriya,out_of_camp,239
Al-Ramadi,out_of_camp,862
Al-Risafa,out_of_camp,552
Al-Shikhan,out_of_camp,3902
Al-Shirqat,out_of_camp,238
Al-Sulaymaniyah,out_of_camp,13371
Al-Suwaira,out_of_camp,387
Aqra,out_of_camp,4121
Balad,out_of_camp,2702
Baladruz,out_of_camp,202
Baquba,out_of_camp,3916
Beygee,out_of_camp,852
Chamchamal,out_of_camp,1576
Daquq,out_of_camp,1031
Derbendikhan,out_of_camp,1029
Dibis,out_of_camp,351
Dokan,out_of_camp,816
Duhok,out_of_camp,5772
Erbil,out_of_camp,26281
Haditha,out_of_camp,341
Halabcha,out_of_camp,578
Heet,out_of_camp,285
Kalar,out_of_camp,2510
Kerbela,out_of_camp,2449
Khanaqin,out_of_camp,2060
Kifri,out_of_camp,2201
Kirkuk,out_of_camp,13581
Koysinjaq,out_of_camp,791
Rania,out_of_camp,455
Rawanduz,out_of_camp,508
Samarra,out_of_camp,4011
Shaqlawa,out_of_camp,915
Sinjar,out_of_camp,4086
Sumail,out_of_camp,14538
Telafar,out_of_camp,1881
Tikrit,out_of_camp,5677
Tilkaef,out_of_camp,4150
Tooz Khurmato,out_of_camp,4820
Zakho,out_of_camp,8749
Al-Baaj,returnee,1768
Al-Daur,returnee,10141
Al-Falluja,returnee,90536
Al-Hamdaniya,returnee,28387
Al-Hatra,returnee,3448
Al-Hawiga,returnee,23488
Al-Kadhmiyah,returnee,4771
Al-Kaim,returnee,6234
Al-Khalis,returnee,13225
Al-Mahmoudiya,returnee,9306
Al-Mosul,returnee,159060
Al-Muqdadiya,returnee,8021
Al-Mussyab,returnee,411
Al-Ramadi,returnee,75718
Al-Rutba,returnee,4675
Al-Shikhan,returnee,266
Al-Shirqat,returnee,20408
Ana,returnee,4770
Balad,returnee,10906
Beygee,returnee,19299
Daquq,returnee,1295
Dibis,returnee,1196
Haditha,returnee,4694
Heet,returnee,30677
Khanaqin,returnee,15936
Kirkuk,returnee,27020
Makhmour,returnee,6226
Samarra,returnee,8978
Sinjar,returnee,9775
Telafar,returnee,54996
Tikrit,returnee,28426
Tilkaef,returnee,19813
Tooz Khurmato,returnee,6859
Al-Adhamiya,host,5487.933992
Al-Basrah,host,4905.989522
Al-Kahla,host,656.9533688
Al-Mosul,host,30722.79269
Al-Najaf,host,10429.21824
Al-Nasiriya,host,1284.615049
Al-Shirqat,host,1942.328798
Erbil,host,592.8938869
Sumail,host,8240.050282
